???ID,?????,???????,??????,??????, ??? ,????,??????, ??? 
34,2019-01-09,49,???????,TVAC040669," 99,000 ",14,0," 1,386,000 "
35,2019-01-09,36,?¢¬??????,AD340678," 264,000 ",7,0.1," 1,663,200 "
36,2019-01-09,4,???????,MP010061," 133,500 ",4,0.1," 480,600 "
37,2019-01-09,14,?????,TV090349," 570,600 ",5,0," 2,853,000 "
38,2019-01-10,15,??????,PA220071," 30,800 ",4,0.1," 110,880 "
39,2019-01-10,9,?????,PA220304," 21,000 ",3,0.1," 56,700 "
40,2019-01-10,10,??????,PA220240," 17,500 ",22,0.1," 346,500 "
41,2019-01-10,9,?????,MP010057," 162,700 ",2,0.1," 292,860 "
42,2019-01-10,12,???????,BH060630," 139,600 ",9,0.1," 1,130,760 "
43,2019-01-10,17,?????????,TVAC040667," 85,800 ",4,0," 343,200 "
44,2019-01-10,17,?????????,OA290185," 27,900 ",9,0.1," 225,990 "
45,2019-01-11,3,??????,SP320541," 400,600 ",16,0.1," 5,768,640 "
46,2019-01-11,44,????????,MP010006," 281,700 ",20,0.1," 5,070,600 "
47,2019-01-11,35,?????,PA220268," 18,700 ",10,0.1," 168,300 "
48,2019-01-11,17,?????????,CA280103," 67,200 ",1,0.1," 60,480 "
49,2019-01-11,12,???????,OA290020," 43,700 ",49,0.1," 1,927,170 "
50,2019-01-11,9,?????,NT150452," 518,000 ",12,0.1," 5,594,400 "
51,2019-01-11,15,??????,SP310290," 310,800 ",42,0," 13,053,600 "
52,2019-01-11,27,???????,OA290020," 43,700 ",5,0," 218,500 "
53,2019-01-12,15,??????,TV090359," 816,500 ",10,0," 8,165,000 "
54,2019-01-12,6,??¥é? ????,NT150592," 515,400 ",3,0," 1,546,200 "
55,2019-01-12,43,?????,SP320542," 351,600 ",10,0," 3,516,000 "
56,2019-01-12,23,??????????,MT180606," 541,400 ",4,0," 2,165,600 "
57,2019-01-12,5,???????,SP320702," 932,200 ",2,0," 1,864,400 "
58,2019-01-12,49,???????,TVAC040670," 66,000 ",13,0," 858,000 "
59,2019-01-12,1,???????,SP320542," 351,600 ",5,0," 1,758,000 "
60,2019-01-13,38,K????,SP320540," 400,600 ",5,0," 2,003,000 "
61,2019-01-13,27,???????,PA220209," 48,400 ",2,0," 96,800 "
62,2019-01-13,18,????????,CA270420," 860,500 ",3,0.1," 2,323,350 "
63,2019-01-13,34,ABC???,PJ190662," 437,800 ",4,0," 1,751,200 "
64,2019-01-13,14,?????,PA220096," 16,000 ",8,0," 128,000 "
65,2019-01-13,39,????????,SP320550," 300,000 ",2,0," 600,000 "
66,2019-01-13,17,?????????,TV090345," 424,900 ",7,0," 2,974,300 "
67,2019-01-13,30,???????,OA290045," 40,000 ",3,0," 120,000 "
68,2019-01-13,43,?????,PJ190662," 437,800 ",7,0," 3,064,600 "
69,2019-01-13,33,???????,SP320540," 400,600 ",7,0.1," 2,523,780 "
70,2019-01-14,34,ABC???,CA280264," 67,300 ",4,0.1," 242,280 "
71,2019-01-14,20,????????,NT150452," 518,000 ",4,0.1," 1,864,800 "
72,2019-01-14,17,?????????,MP010035," 80,700 ",4,0.1," 290,520 "
73,2019-01-14,15,??????,OA290181," 48,800 ",12,0.1," 527,040 "
74,2019-01-14,33,???????,TV090658," 1,293,600 ",3,0.1," 3,492,720 "
75,2019-01-15,29,?¨ù?????,MT180375," 60,400 ",1,0.1," 54,360 "
76,2019-01-15,13,??????,CA270439," 484,500 ",4,0.1," 1,744,200 "
77,2019-01-15,6,??¥é? ????,MP010055," 162,700 ",8,0.1," 1,171,440 "
78,2019-01-15,13,??????,CA270417," 858,100 ",19,0.1," 14,673,510 "
79,2019-01-15,4,???????,TV090365," 1,436,600 ",2,0," 2,873,200 "
80,2019-01-16,11,???????,DV350157," 21,800 ",40,0.1," 784,800 "
81,2019-01-16,53,????????,SP320697," 683,600 ",12,0.1," 7,382,880 "
82,2019-01-16,37,J????,PA220316," 20,900 ",37,0.1," 695,970 "
83,2019-01-16,33,???????,SP320697," 683,600 ",29,0.1," 17,841,960 "
84,2019-01-17,37,J????,CA280309," 30,400 ",71,0.1," 1,942,560 "
85,2019-01-17,40,????????,SP320559," 356,000 ",34,0.1," 10,893,600 "
86,2019-01-17,6,??¥é? ????,CA280193," 105,000 ",1,0.1," 94,500 "
87,2019-01-17,25,?????,CA280284," 115,300 ",63,0.1," 6,537,510 "
88,2019-01-17,49,???????,CA270407," 568,000 ",38,0.1," 19,425,600 "
89,2019-01-17,6,??¥é? ????,MT180376," 60,400 ",77,0," 4,650,800 "
90,2019-01-17,41,???????,TV090359," 816,500 ",5,0," 4,082,500 "
91,2019-01-17,14,?????,SP320529," 361,800 ",8,0," 2,894,400 "
92,2019-01-17,5,???????,SP320559," 356,000 ",6,0," 2,136,000 "
93,2019-01-18,51,??????,PA220177," 33,900 ",1,0," 33,900 "
94,2019-01-18,50,???¥í??????,NT150598," 700,300 ",56,0," 39,216,800 "
95,2019-01-18,16,???????,PA220266," 18,700 ",7,0," 130,900 "
96,2019-01-19,24,????????,EP330676," 71,500 ",44,0.1," 2,831,400 "
97,2019-01-19,34,ABC???,PA220230," 156,600 ",34,0," 5,324,400 "
98,2019-01-19,36,?¢¬??????,BH060635," 218,700 ",34,0.1," 6,692,220 "
99,2019-01-20,30,???????,BH060671," 58,200 ",1,0.1," 52,380 "
100,2019-01-20,52,???²J,PA330297," 15,100 ",5,0," 75,500 "
101,2019-01-20,42,?¯C????,SP320539," 400,600 ",16,0.1," 5,768,640 "
102,2019-01-20,17,?????????,SP320539," 400,600 ",36,0," 14,421,600 "
103,2019-01-21,17,?????????,NT150385," 628,600 ",4,0," 2,514,400 "
104,2019-01-21,11,???????,TV090648," 556,600 ",4,0.1," 2,003,760 "
105,2019-01-21,27,???????,CA270440," 502,000 ",2,0.1," 903,600 "
106,2019-01-21,5,???????,PA220315," 20,900 ",5,0.1," 94,050 "
107,2019-01-21,9,?????,TVAC040670," 66,000 ",6,0," 396,000 "
108,2019-01-22,4,???????,PA220212," 202,000 ",7,0.1," 1,272,600 "
109,2019-01-22,10,??????,CA270490," 680,900 ",6,0.1," 3,676,860 "
110,2019-01-22,52,???²J,NT150682," 833,600 ",14,0.1," 10,503,360 "
111,2019-01-22,36,?¢¬??????,OA290205," 35,200 ",20,0.1," 633,600 "
112,2019-01-22,43,?????,PA220328," 85,000 ",2,0.1," 153,000 "
113,2019-01-22,34,ABC???,OA290205," 35,200 ",3,0.1," 95,040 "
114,2019-01-23,32,????????,PA220324," 28,200 ",7,0.1," 177,660 "
115,2019-01-23,37,J????,BH060630," 139,600 ",7,0.1," 879,480 "
116,2019-01-23,13,??????,PA220230," 156,600 ",2,0.1," 281,880 "
117,2019-01-23,37,J????,PA220212," 202,000 ",7,0.1," 1,272,600 "
118,2019-01-23,29,?¨ù?????,OA290016," 35,200 ",12,0.1," 380,160 "
119,2019-01-24,3,??????,SP310549," 352,100 ",7,0.1," 2,218,230 "
120,2019-01-24,42,?¯C????,CA270448," 449,500 ",3,0.1," 1,213,650 "
121,2019-01-24,19,????????,PA220302," 21,000 ",6,0.1," 113,400 "
122,2019-01-24,1,???????,DV350169," 148,100 ",3,0.1," 399,870 "
123,2019-01-24,10,??????,PA220319," 20,900 ",13,0.1," 244,530 "
124,2019-01-24,8,?¡Æ?????,PA220336," 36,400 ",13,0.1," 425,880 "
125,2019-01-24,33,???????,SP320545," 332,400 ",5,0.1," 1,495,800 "
126,2019-01-24,41,???????,SP320561," 210,000 ",6,0.1," 1,134,000 "
127,2019-01-24,6,??¥é? ????,SP320545," 332,400 ",1,0.1," 299,160 "
128,2019-01-25,1,???????,CA270410," 581,500 ",6,0.1," 3,140,100 "
129,2019-01-25,47,???¥í????,CA280114," 248,900 ",7,0.1," 1,568,070 "
130,2019-01-25,13,??????,BH060508," 34,600 ",13,0.1," 404,820 "
131,2019-01-25,19,????????,DC230639," 433,000 ",7,0.1," 2,727,900 "
132,2019-01-25,49,???????,PC170378," 569,400 ",7,0.1," 3,587,220 "
133,2019-01-25,12,???????,TVAC040666," 550,000 ",7,0.1," 3,465,000 "
134,2019-01-26,5,???????,NT150592," 515,400 ",13,0.1," 6,030,180 "
135,2019-01-26,36,?¢¬??????,OA290031," 43,700 ",3,0.1," 117,990 "
136,2019-01-26,52,???²J,PE040587," 258,900 ",1,0.1," 233,010 "
137,2019-01-26,39,????????,NT150600," 916,200 ",8,0," 7,329,600 "
138,2019-01-26,35,?????,TV090644," 607,000 ",2,0.1," 1,092,600 "
139,2019-01-26,19,????????,TV090653," 769,800 ",7,0.1," 4,849,740 "
140,2019-01-26,20,????????,OA290031," 43,700 ",22,0.1," 865,260 "
141,2019-01-27,10,??????,OA290173," 48,500 ",4,0.1," 174,600 "
142,2019-01-27,16,???????,MP010026," 223,100 ",1,0.1," 200,790 "
143,2019-01-27,50,???¥í??????,PA220337," 113,700 ",32,0.1," 3,274,560 "
144,2019-01-27,48,????????,OA290173," 48,500 ",5,0.1," 218,250 "
145,2019-01-28,14,?????,PJ200615," 261,500 ",1,0," 261,500 "
146,2019-01-28,27,???????,BH060629," 139,600 ",17,0.1," 2,135,880 "
147,2019-01-28,13,??????,MP010054," 261,700 ",2,0.1," 471,060 "
148,2019-01-28,14,?????,TV090648," 556,600 ",26,0.1," 13,024,440 "
149,2019-01-28,48,????????,TVAC040669," 99,000 ",21,0," 2,079,000 "
150,2019-01-29,30,???????,DV350172," 194,200 ",7,0.1," 1,223,460 "
151,2019-01-29,2,????????,PA220268," 18,700 ",23,0.1," 387,090 "
152,2019-01-29,9,?????,PA220070," 30,800 ",3,0.1," 83,160 "
153,2019-01-29,43,?????,NT150455," 495,300 ",7,0.1," 3,120,390 "
154,2019-01-30,39,????????,NT150681," 975,000 ",19,0," 18,525,000 "
155,2019-01-30,7,??????,PA220093," 36,200 ",10,0.1," 325,800 "
156,2019-01-31,29,?¨ù?????,TV090359," 816,500 ",11,0," 8,981,500 "
157,2019-01-31,45,??????,PA220231," 156,600 ",9,0.1," 1,268,460 "
158,2019-02-01,25,?????,NT150600," 916,200 ",7,0," 6,413,400 "
159,2019-02-01,53,????????,MP010049," 17,500 ",9,0.1," 141,750 "
160,2019-02-01,35,?????,PJ200275," 219,500 ",10,0," 2,195,000 "
161,2019-02-01,35,?????,SP320556," 356,000 ",20,0.1," 6,408,000 "
162,2019-02-02,16,???????,PA220095," 36,200 ",5,0.1," 162,900 "
163,2019-02-02,6,??¥é? ????,PA220209," 48,400 ",2,0.1," 87,120 "
164,2019-02-02,48,????????,TV090352," 607,000 ",3,0," 1,821,000 "
165,2019-02-02,14,?????,SP320532," 321,900 ",2,0.1," 579,420 "
166,2019-02-02,42,?¯C????,PA220279," 14,000 ",6,0.1," 75,600 "
167,2019-02-02,5,???????,SP310576," 313,200 ",15,0.1," 4,228,200 "
168,2019-02-03,45,??????,TVAC040666," 550,000 ",7,0," 3,850,000 "
169,2019-02-03,53,????????,NT150686," 1,099,800 ",28,0," 30,794,400 "
170,2019-02-03,33,???????,SP320559," 356,000 ",10,0.1," 3,204,000 "
171,2019-02-03,18,????????,TV090353," 607,000 ",4,0," 2,428,000 "
172,2019-02-03,26,???????,NT150600," 916,200 ",11,0," 10,078,200 "
173,2019-02-04,31,????????,CA270420," 860,500 ",2,0.1," 1,548,900 "
174,2019-02-04,22,????????,MP010001," 242,700 ",3,0.1," 655,290 "
175,2019-02-04,9,?????,OA290108," 37,600 ",5,0.1," 169,200 "
176,2019-02-05,29,?¨ù?????,PC170378," 569,400 ",6,0," 3,416,400 "
177,2019-02-05,9,?????,PJ190249," 907,400 ",4,0.1," 3,266,640 "
178,2019-02-05,10,??????,PA220200," 34,300 ",6,0.1," 185,220 "
179,2019-02-05,8,?¡Æ?????,PJ200615," 261,500 ",18,0.1," 4,236,300 "
180,2019-02-05,49,???????,PJ200615," 261,500 ",3,0," 784,500 "
181,2019-02-05,14,?????,OA290187," 27,900 ",2,0," 55,800 "
182,2019-02-05,14,?????,TV090653," 769,800 ",15,0," 11,547,000 "
183,2019-02-05,36,?¢¬??????,NT150594," 628,600 ",1,0," 628,600 "
184,2019-02-06,33,???????,TVAC040665," 74,800 ",15,0," 1,122,000 "
185,2019-02-06,40,????????,OA290187," 27,900 ",3,0," 83,700 "
186,2019-02-06,14,?????,MP010040," 94,300 ",1,0.1," 84,870 "
187,2019-02-06,16,???????,SP320547," 332,400 ",13,0," 4,321,200 "
188,2019-02-06,47,???¥í????,OA290044," 40,000 ",3,0," 120,000 "
189,2019-02-06,43,?????,SP320547," 332,400 ",4,0," 1,329,600 "
190,2019-02-07,48,????????,OA290139," 17,500 ",14,0," 245,000 "
191,2019-02-07,34,ABC???,MP010035," 80,700 ",6,0.1," 435,780 "
192,2019-02-07,12,???????,CA280190," 26,900 ",2,0.1," 48,420 "
193,2019-02-07,16,???????,MT180376," 60,400 ",15,0," 906,000 "
194,2019-02-07,9,?????,TV090343," 424,900 ",14,0," 5,948,600 "
195,2019-02-08,32,????????,CA280189," 26,900 ",5,0.1," 121,050 "
196,2019-02-08,20,????????,PA220232," 156,600 ",2,0," 313,200 "
197,2019-02-08,10,??????,CA280221," 9,300 ",12,0.1," 100,440 "
198,2019-02-08,47,???¥í????,DS240466," 398,200 ",2,0.1," 716,760 "
199,2019-02-09,7,??????,PA220313," 22,800 ",3,0," 68,400 "
200,2019-02-09,47,???¥í????,CA280194," 105,000 ",3,0.1," 283,500 "
201,2019-02-09,15,??????,BH060510," 58,200 ",3,0.1," 157,140 "
202,2019-02-09,28,????????,OA290021," 43,700 ",4,0," 174,800 "
203,2019-02-10,32,????????,PA220206," 40,200 ",2,0," 80,400 "
204,2019-02-10,27,???????,BH060504," 46,100 ",12,0.1," 497,880 "
205,2019-02-10,39,????????,CA280192," 105,000 ",4,0.1," 378,000 "
206,2019-02-10,19,????????,TV090658," 1,293,600 ",7,0," 9,055,200 "
207,2019-02-10,3,??????,SP320552," 300,000 ",17,0," 5,100,000 "
208,2019-02-11,2,????????,TV090353," 607,000 ",11,0," 6,677,000 "
209,2019-02-11,33,???????,BH060635," 218,700 ",2,0.1," 393,660 "
210,2019-02-11,36,?¢¬??????,PA220077," 26,800 ",4,0," 107,200 "
211,2019-02-11,53,????????,TV090658," 1,293,600 ",2,0.2," 2,069,760 "
212,2019-02-12,5,???????,BH060513," 58,200 ",7,0.2," 325,920 "
213,2019-02-12,5,???????,SP310549," 352,100 ",13,0.2," 3,661,840 "
214,2019-02-12,27,???????,PA220094," 36,200 ",3,0.2," 86,880 "
215,2019-02-12,35,?????,DV350152," 13,400 ",4,0.2," 42,880 "
216,2019-02-12,39,????????,SP310549," 352,100 ",3,0.2," 845,040 "
217,2019-02-13,25,?????,CA270483," 239,600 ",5,0.2," 958,400 "
218,2019-02-13,18,????????,CA280189," 26,900 ",5,0.2," 107,600 "
219,2019-02-14,9,?????,PA220277," 14,000 ",8,0.2," 89,600 "
220,2019-02-14,52,???²J,OA290182," 53,200 ",14,0.2," 595,840 "
221,2019-02-14,15,??????,CA280102," 67,200 ",20,0.2," 1,075,200 "
222,2019-02-14,42,?¯C????,PA220211," 202,000 ",3,0.1," 545,400 "
223,2019-02-14,40,????????,CA280298," 80,700 ",8,0.1," 581,040 "
224,2019-02-14,14,?????,SP320555," 356,000 ",4,0.1," 1,281,600 "
225,2019-02-14,36,?¢¬??????,OA290182," 53,200 ",2,0.1," 95,760 "
226,2019-02-15,22,????????,MP010053," 261,700 ",18,0.1," 4,239,540 "
227,2019-02-15,17,?????????,CA270430," 824,100 ",7,0.1," 5,191,830 "
228,2019-02-15,46,?¥ì?????,OA290204," 35,200 ",5,0.1," 158,400 "
229,2019-02-16,24,????????,TV090351," 607,000 ",9,0.1," 4,916,700 "
230,2019-02-16,38,K????,NT150600," 916,200 ",5,0," 4,581,000 "
231,2019-02-16,48,????????,CA270446," 458,300 ",5,0.1," 2,062,350 "
232,2019-02-16,15,??????,MT180606," 541,400 ",20,0.1," 9,745,200 "
233,2019-02-17,35,?????,PA220209," 48,400 ",3,0.1," 130,680 "
234,2019-02-17,22,????????,CA280129," 37,700 ",10,0.1," 339,300 "
235,2019-02-17,34,ABC???,MP010028," 223,100 ",2,0.1," 401,580 "
236,2019-02-17,9,?????,OA290134," 40,000 ",9,0.1," 324,000 "
237,2019-02-18,45,??????,DS240472," 475,800 ",22,0.1," 9,420,840 "
238,2019-02-18,18,????????,BH060510," 58,200 ",10,0.1," 523,800 "
239,2019-02-18,12,???????,NT150384," 628,600 ",10,0.1," 5,657,400 "
240,2019-02-18,50,???¥í??????,TV090648," 556,600 ",2,0.1," 1,001,880 "
241,2019-02-18,8,?¡Æ?????,OA290022," 22,900 ",12,0.1," 247,320 "
242,2019-02-18,12,???????,MP010027," 223,100 ",5,0.1," 1,003,950 "
243,2019-02-18,16,???????,OA290022," 22,900 ",11,0.1," 226,710 "
244,2019-02-19,53,????????,DC230643," 433,000 ",7,0.1," 2,727,900 "
245,2019-02-19,10,??????,SP310578," 313,200 ",8,0.1," 2,255,040 "
246,2019-02-19,7,??????,PC170694," 423,700 ",2,0.1," 762,660 "
247,2019-02-19,30,???????,SP310578," 313,200 ",16,0.1," 4,510,080 "
248,2019-02-20,49,???????,PE040582," 210,000 ",18,0.1," 3,402,000 "
249,2019-02-20,8,?¡Æ?????,PA220092," 36,200 ",7,0.1," 228,060 "
250,2019-02-20,31,????????,CA270419," 860,500 ",2,0.1," 1,548,900 "
251,2019-02-20,52,???²J,PJ200276," 219,500 ",5,0," 1,097,500 "
252,2019-02-20,14,?????,TV090657," 1,073,600 ",1,0," 1,073,600 "
253,2019-02-20,4,???????,TVAC040665," 74,800 ",2,0," 149,600 "
254,2019-02-21,17,?????????,PA220109," 33,900 ",6,0.1," 183,060 "
255,2019-02-21,30,???????,DV350171," 194,200 ",3,0.1," 524,340 "
256,2019-02-21,18,????????,PA220314," 22,800 ",9,0.1," 184,680 "
257,2019-02-21,26,???????,SP320547," 332,400 ",7,0.1," 2,094,120 "
258,2019-02-22,19,????????,BH060632," 218,700 ",3,0.1," 590,490 "
259,2019-02-22,1,???????,PA220076," 26,800 ",5,0.1," 120,600 "
260,2019-02-22,8,?¡Æ?????,SP320550," 300,000 ",13,0.1," 3,510,000 "
261,2019-02-22,26,???????,OA290179," 48,800 ",7,0.1," 307,440 "
262,2019-02-22,13,??????,SP320550," 300,000 ",4,0.1," 1,080,000 "
263,2019-02-22,47,???¥í????,OA290179," 48,800 ",3,0.1," 131,760 "
264,2019-02-23,7,??????,BH060671," 58,200 ",19,0.1," 995,220 "
265,2019-02-23,1,???????,NT150390," 700,300 ",20,0," 14,006,000 "
266,2019-02-23,25,?????,PA220088," 131,200 ",3,0.1," 354,240 "
267,2019-02-23,12,???????,MP010012," 29,000 ",20,0.1," 522,000 "
268,2019-02-23,50,???¥í??????,CA280286," 520,400 ",7,0.1," 3,278,520 "
269,2019-02-24,10,??????,TV090658," 1,293,600 ",5,0," 6,468,000 "
270,2019-02-24,24,????????,PA220124," 29,000 ",19,0.1," 495,900 "
271,2019-02-24,3,??????,OA290181," 48,800 ",13,0.1," 570,960 "
272,2019-02-24,8,?¡Æ?????,OA290181," 48,800 ",5,0," 244,000 "
273,2019-02-25,39,????????,PJ200621," 187,100 ",2,0.1," 336,780 "
274,2019-02-25,42,?¯C????,BH060521," 131,200 ",4,0.1," 472,320 "
275,2019-02-25,37,J????,SP320564," 210,000 ",5,0.1," 945,000 "
276,2019-02-25,24,????????,PJ190664," 437,800 ",3,0.1," 1,182,060 "
277,2019-02-25,53,????????,SP320564," 210,000 ",24,0.1," 4,536,000 "
278,2019-02-26,22,????????,CA280118," 53,800 ",5,0.1," 242,100 "
279,2019-02-26,36,?¢¬??????,PA220063," 16,000 ",19,0.1," 273,600 "
280,2019-02-26,17,?????????,NT150689," 682,000 ",7,0.1," 4,296,600 "
281,2019-02-26,28,????????,OA290174," 48,500 ",26,0.1," 1,134,900 "
282,2019-02-26,53,????????,DV350167," 148,100 ",10,0.1," 1,332,900 "
283,2019-02-26,40,????????,TVAC040669," 99,000 ",7,0," 693,000 "
284,2019-02-26,52,???²J,OA290174," 48,500 ",30,0.1," 1,309,500 "
285,2019-02-27,12,???????,CA280223," 9,300 ",17,0.1," 142,290 "
286,2019-02-27,10,??????,PA220095," 36,200 ",6,0.1," 195,480 "
287,2019-02-27,52,???²J,TV090356," 455,400 ",10,0," 4,554,000 "
288,2019-02-27,52,???²J,PA220093," 36,200 ",12,0.1," 390,960 "
289,2019-02-27,38,K????,PJ190663," 437,800 ",15,0.1," 5,910,300 "
290,2019-02-28,48,????????,DV350150," 253,700 ",19,0.1," 4,338,270 "
291,2019-02-28,30,???????,DS240463," 398,200 ",18,0.1," 6,450,840 "
292,2019-02-28,51,??????,DC230640," 433,000 ",26,0.1," 10,132,200 "
293,2019-02-28,31,????????,OA290187," 27,900 ",4,0," 111,600 "
294,2019-02-28,1,???????,CA270412," 581,500 ",11,0.1," 5,756,850 "
295,2019-02-28,24,????????,OA290187," 27,900 ",26,0," 725,400 "
296,2019-03-01,26,???????,DS240473," 420,300 ",15,0.1," 5,674,050 "
297,2019-03-01,17,?????????,OA290023," 22,900 ",10,0," 229,000 "
298,2019-03-01,25,?????,SP310290," 310,800 ",3,0," 932,400 "
299,2019-03-01,9,?????,OA290187," 27,900 ",11,0," 306,900 "
300,2019-03-01,2,????????,SP310565," 242,800 ",25,0," 6,070,000 "
301,2019-03-01,21,???????,OA290023," 22,900 ",11,0," 251,900 "
302,2019-03-01,8,?¡Æ?????,SP310290," 310,800 ",3,0," 932,400 "
303,2019-03-02,15,??????,CA270435," 519,500 ",13,0.1," 6,078,150 "
304,2019-03-02,5,???????,DV350167," 148,100 ",22,0," 3,258,200 "
305,2019-03-02,4,???????,PA220233," 156,600 ",7,0.1," 986,580 "
306,2019-03-02,25,?????,PA220073," 71,200 ",4,0.1," 256,320 "
307,2019-03-03,4,???????,PJ190250," 907,400 ",6,0," 5,444,400 "
308,2019-03-03,21,???????,PJ200620," 187,100 ",4,0," 748,400 "
309,2019-03-03,49,???????,SP320539," 400,600 ",9,0.1," 3,244,860 "
310,2019-03-03,26,???????,MP010003," 242,700 ",10,0.1," 2,184,300 "
311,2019-03-03,12,???????,MT180401," 496,400 ",2,0," 992,800 "
312,2019-03-03,32,????????,SP320539," 400,600 ",7,0.1," 2,523,780 "
313,2019-03-04,38,K????,PA220088," 131,200 ",10,0.1," 1,180,800 "
314,2019-03-04,44,????????,MP010028," 223,100 ",2,0.1," 401,580 "
315,2019-03-05,14,?????,NT150388," 628,600 ",4,0," 2,514,400 "
316,2019-03-05,2,????????,DS240469," 398,200 ",22,0.1," 7,884,360 "
317,2019-03-05,23,??????????,CA270488," 226,100 ",9,0.1," 1,831,410 "
318,2019-03-05,32,????????,PA220074," 71,200 ",1,0.1," 64,080 "
319,2019-03-06,40,????????,SP310568," 325,400 ",20,0," 6,508,000 "
320,2019-03-06,5,???????,PA220239," 17,500 ",2,0.1," 31,500 "
321,2019-03-06,30,???????,PA220226," 17,400 ",7,0.1," 109,620 "
322,2019-03-07,44,????????,MP010039," 94,300 ",3,0.1," 254,610 "
323,2019-03-07,2,????????,OA290184," 53,200 ",7,0," 372,400 "
324,2019-03-07,28,????????,PA220089," 131,200 ",5,0," 656,000 "
325,2019-03-08,27,???????,OA290032," 43,700 ",23,0," 1,005,100 "
326,2019-03-08,31,????????,CA270488," 226,100 ",16,0.1," 3,255,840 "
327,2019-03-08,34,ABC???,TVAC040669," 99,000 ",4,0," 396,000 "
328,2019-03-08,33,???????,NT150456," 537,000 ",22,0," 11,814,000 "
329,2019-03-08,43,?????,DV350167," 148,100 ",27,0," 3,998,700 "
330,2019-03-08,43,?????,TVAC040665," 74,800 ",13,0," 972,400 "
331,2019-03-08,23,??????????,OA290032," 43,700 ",7,0," 305,900 "
332,2019-03-09,23,??????????,BP350679," 248,600 ",6,0," 1,491,600 "
333,2019-03-09,5,???????,PA220340," 113,700 ",14,0," 1,591,800 "
334,2019-03-09,38,K????,PA220200," 34,300 ",9,0," 308,700 "
335,2019-03-09,51,??????,CA270492," 654,700 ",6,0.1," 3,535,380 "
336,2019-03-09,7,??????,PA330295," 15,100 ",9,0," 135,900 "
337,2019-03-09,9,?????,OA290173," 48,500 ",5,0," 242,500 "
338,2019-03-09,9,?????,OA290184," 53,200 ",7,0," 372,400 "
339,2019-03-09,15,??????,TV090660," 1,557,600 ",36,0," 56,073,600 "
340,2019-03-10,8,?¡Æ?????,OA290174," 48,500 ",19,0," 921,500 "
341,2019-03-10,26,???????,NT150379," 515,400 ",5,0," 2,577,000 "
342,2019-03-10,4,???????,CA270481," 228,800 ",14,0," 3,203,200 "
343,2019-03-10,6,??¥é? ????,SP310696," 313,200 ",3,0," 939,600 "
344,2019-03-10,32,????????,TV090660," 1,557,600 ",13,0," 20,248,800 "
345,2019-03-10,29,?¨ù?????,OA290174," 48,500 ",2,0," 97,000 "
346,2019-03-11,8,?¡Æ?????,CA280264," 67,300 ",26,0," 1,749,800 "
